var,description
"tb_17_2","Outperform human novices on 50% of Atari games after only 20 minutes of training play time and no game specific knowledge. For context, the original Atari playing deep Q-network outperforms professional game testers on 47% of games1, but used hundreds of hours of play to train2. 1 Mnih et al. (2015). Human-level control through deep reinforcement learning2 Lake et al. (2015). Building Machines That Learn and Think Like People - 20 years"
"tb_17_3","Outperform human novices on 50% of Atari games after only 20 minutes of training play time and no game specific knowledge. For context, the original Atari playing deep Q-network outperforms professional game testers on 47% of games1, but used hundreds of hours of play to train2. 1 Mnih et al. (2015). Human-level control through deep reinforcement learning2 Lake et al. (2015). Building Machines That Learn and Think Like People - 50 years"
"tb_18_1","Fold laundry as well and as fast as the median human clothing store employee. - 10 years"
"tb_18_2","Fold laundry as well and as fast as the median human clothing store employee. - 20 years"
"tb_18_3","Fold laundry as well and as fast as the median human clothing store employee. - 50 years"
"tb_19_1","Beat the fastest human runners in a 5 kilometer race through city streets using a bipedal robot body. - 10 years"
"tb_19_2","Beat the fastest human runners in a 5 kilometer race through city streets using a bipedal robot body. - 20 years"
"tb_19_3","Beat the fastest human runners in a 5 kilometer race through city streets using a bipedal robot body. - 50 years"
"tb_20_1","Physically assemble any LEGO set given the pieces and instructions, using non-specialized robotics hardware. For context, Fu 20161 successfully joins single large LEGO pieces using model based reinforcement learning and online adaptation.1 Fu et al. (2016). One-Shot Learning of Manipulation Skills with Online Dynamics Adaptation and Neural Network Priors - 10 years"
"tb_20_2","Physically assemble any LEGO set given the pieces and instructions, using non-specialized robotics hardware. For context, Fu 20161 successfully joins single large LEGO pieces using model based reinforcement learning and online adaptation.1 Fu et al. (2016). One-Shot Learning of Manipulation Skills with Online Dynamics Adaptation and Neural Network Priors - 20 years"
"tb_20_3","Physically assemble any LEGO set given the pieces and instructions, using non-specialized robotics hardware. For context, Fu 20161 successfully joins single large LEGO pieces using model based reinforcement learning and online adaptation.1 Fu et al. (2016). One-Shot Learning of Manipulation Skills with Online Dynamics Adaptation and Neural Network Priors - 50 years"
"tb_21_1","Learn to efficiently sort lists of numbers much larger than in any training set used, the way Neural GPUs can do for addition1, but without being given the form of the solution. For context, the original Neural Turing Machines could not do this2, but Neural Programmer-Interpreters3 have been able to do this by training on stack traces (which contain a lot of information about the form of the solution). 1 Kaiser & Sutskever (2015). Neural GPUs Learn Algorithms 2 Zaremba & Sutskever (2015). Reinforcement Learning Neural Turing Machines 3 Reed & de Freitas (2015). Neural Programmer-Interpreters - 10 years"
"tb_21_2","Learn to efficiently sort lists of numbers much larger than in any training set used, the way Neural GPUs can do for addition1, but without being given the form of the solution. For context, the original Neural Turing Machines could not do this2, but Neural Programmer-Interpreters3 have been able to do this by training on stack traces (which contain a lot of information about the form of the solution). 1 Kaiser & Sutskever (2015). Neural GPUs Learn Algorithms 2 Zaremba & Sutskever (2015). Reinforcement Learning Neural Turing Machines 3 Reed & de Freitas (2015). Neural Programmer-Interpreters - 20 years"
"tb_21_3","Learn to efficiently sort lists of numbers much larger than in any training set used, the way Neural GPUs can do for addition1, but without being given the form of the solution. For context, the original Neural Turing Machines could not do this2, but Neural Programmer-Interpreters3 have been able to do this by training on stack traces (which contain a lot of information about the form of the solution). 1 Kaiser & Sutskever (2015). Neural GPUs Learn Algorithms 2 Zaremba & Sutskever (2015). Reinforcement Learning Neural Turing Machines 3 Reed & de Freitas (2015). Neural Programmer-Interpreters - 50 years"
"tb_22_1","Write concise, efficient, human-readable Python code to implement simple algorithms like quicksort. That is, the system should write code that sorts a list, rather than just being able to sort lists. Suppose the system is given only:A specification of what counts as a sorted listSeveral examples of lists undergoing sorting by quicksort - 10 years"
"tb_22_2","Write concise, efficient, human-readable Python code to implement simple algorithms like quicksort. That is, the system should write code that sorts a list, rather than just being able to sort lists. Suppose the system is given only:A specification of what counts as a sorted listSeveral examples of lists undergoing sorting by quicksort - 20 years"
"tb_22_3","Write concise, efficient, human-readable Python code to implement simple algorithms like quicksort. That is, the system should write code that sorts a list, rather than just being able to sort lists. Suppose the system is given only:A specification of what counts as a sorted listSeveral examples of lists undergoing sorting by quicksort - 50 years"
"tb_23_1","Answer any “easily Googleable” factoid questions posed in natural language better than an expert on the relevant topic (with internet access), having found the answers on the internet. Examples of factoid questions: “What is the poisonous substance in Oleander plants?”“How many species of lizard can be found in Great Britain?” - 10 years"
"tb_23_2","Answer any “easily Googleable” factoid questions posed in natural language better than an expert on the relevant topic (with internet access), having found the answers on the internet. Examples of factoid questions: “What is the poisonous substance in Oleander plants?”“How many species of lizard can be found in Great Britain?” - 20 years"
"tb_23_3","Answer any “easily Googleable” factoid questions posed in natural language better than an expert on the relevant topic (with internet access), having found the answers on the internet. Examples of factoid questions: “What is the poisonous substance in Oleander plants?”“How many species of lizard can be found in Great Britain?” - 50 years"
"tb_24_1","Answer any “easily Googleable” factual but open ended question posed in natural language better than an expert on the relevant topic (with internet access), having found the answers on the internet. Examples of open ended questions: “What does it mean if my lights dim when I turn on the microwave?”“When does home insurance cover roof replacement?” - 10 years"
"tb_24_2","Answer any “easily Googleable” factual but open ended question posed in natural language better than an expert on the relevant topic (with internet access), having found the answers on the internet. Examples of open ended questions: “What does it mean if my lights dim when I turn on the microwave?”“When does home insurance cover roof replacement?” - 20 years"
"tb_24_3","Answer any “easily Googleable” factual but open ended question posed in natural language better than an expert on the relevant topic (with internet access), having found the answers on the internet. Examples of open ended questions: “What does it mean if my lights dim when I turn on the microwave?”“When does home insurance cover roof replacement?” - 50 years"
"tb_25_1","Give good answers in natural language to factual questions posed in natural language for which there are no definite correct answers. For example:""What causes the demographic transition?"", ""Is the thylacine extinct?"", ""How safe is seeing a chiropractor?"" - 10 years"
"tb_25_2","Give good answers in natural language to factual questions posed in natural language for which there are no definite correct answers. For example:""What causes the demographic transition?"", ""Is the thylacine extinct?"", ""How safe is seeing a chiropractor?"" - 20 years"
"tb_25_3","Give good answers in natural language to factual questions posed in natural language for which there are no definite correct answers. For example:""What causes the demographic transition?"", ""Is the thylacine extinct?"", ""How safe is seeing a chiropractor?"" - 50 years"
"tb_26_1","Write an essay for a high-school history class that would receive high grades and pass plagiarism detectors. For example answer a question like ‘How did the whaling industry affect the industrial revolution?’ - 10 years"
"tb_26_2","Write an essay for a high-school history class that would receive high grades and pass plagiarism detectors. For example answer a question like ‘How did the whaling industry affect the industrial revolution?’ - 20 years"
"tb_26_3","Write an essay for a high-school history class that would receive high grades and pass plagiarism detectors. For example answer a question like ‘How did the whaling industry affect the industrial revolution?’ - 50 years"
"tb_27_1","Compose a song that is good enough to reach the US Top 40. The system should output the complete song as an audio file. - 10 years"
"tb_27_2","Compose a song that is good enough to reach the US Top 40. The system should output the complete song as an audio file. - 20 years"
"tb_27_3","Compose a song that is good enough to reach the US Top 40. The system should output the complete song as an audio file. - 50 years"
"tb_28_1","Produce a song that is indistinguishable from a new song by a particular artist, e.g. a song that experienced listeners can’t distinguish from a new song by Taylor Swift. - 10 years"
"tb_28_2","Produce a song that is indistinguishable from a new song by a particular artist, e.g. a song that experienced listeners can’t distinguish from a new song by Taylor Swift. - 20 years"
"tb_28_3","Produce a song that is indistinguishable from a new song by a particular artist, e.g. a song that experienced listeners can’t distinguish from a new song by Taylor Swift. - 50 years"
"tb_29_1","Write a novel or short story good enough to make it to the New York Times best-seller list. - 10 years"
"tb_29_2","Write a novel or short story good enough to make it to the New York Times best-seller list. - 20 years"
"tb_29_3","Write a novel or short story good enough to make it to the New York Times best-seller list. - 50 years"
"tb_30_1","For any computer game that can be played well by a machine, explain the machine’s choice of moves in a way that feels concise and complete to a layman. - 10 years"
"tb_30_2","For any computer game that can be played well by a machine, explain the machine’s choice of moves in a way that feels concise and complete to a layman. - 20 years"
"tb_30_3","For any computer game that can be played well by a machine, explain the machine’s choice of moves in a way that feels concise and complete to a layman. - 50 years"
"tb_31_1","Play poker well enough to win the World Series of Poker. - 10 years"
"tb_31_2","Play poker well enough to win the World Series of Poker. - 20 years"
"tb_31_3","Play poker well enough to win the World Series of Poker. - 50 years"
"tb_32_1","After spending time in a virtual world, output the differential equations governing that world in symbolic form.For example, the agent is placed in a game engine where Newtonian mechanics holds exactly and the agent is then able to conduct experiments with a ball and output Newton’s laws of motion. - 10 years"
"tb_32_2","After spending time in a virtual world, output the differential equations governing that world in symbolic form.For example, the agent is placed in a game engine where Newtonian mechanics holds exactly and the agent is then able to conduct experiments with a ball and output Newton’s laws of motion. - 20 years"
"tb_32_3","After spending time in a virtual world, output the differential equations governing that world in symbolic form.For example, the agent is placed in a game engine where Newtonian mechanics holds exactly and the agent is then able to conduct experiments with a ball and output Newton’s laws of motion. - 50 years"
"tb_comment","Do you have any comments on your interpretation of these questions? (optional)"
"tb_consider","Which considerations were important in your answers to these questions? (optional)"
"sq_time_First.Click","Timing - First Click"
"sq_time_Last.Click","Timing - Last Click"
"sq_time_Page.Submit","Timing - Page Submit"
"sq_time_Click.Count","Timing - Click Count"
"sq_1","Do you think this argument points at an important problem?"
"aq_2","How valuable is it to work on this problem today, compared to other problems in AI?"
"sq_3","How hard do you think this problem is compared to other problems in AI?"
"sq_comment","Do you have any comments on your interpretation of this question? (optional)"
"sq_consider","Which considerations were important in your answers to this question? (optional)"
"Q374_First.Click","Timing - First Click"
"Q374_Last.Click","Timing - Last Click"
"Q374_Page.Submit","Timing - Page Submit"
"Q374_Click.Count","Timing - Click Count"
"Q377","How much should society prioritize AI safety research, relative to how much it is currently prioritized?"
"Q378","Do you have any comments on your interpretation of this question? (optional)"
"Q379","Which considerations were important in your answer to this question? (optional)"
"sr_time_First.Click","Timing - First Click"
"sr_time_Last.Click","Timing - Last Click"
"sr_time_Page.Submit","Timing - Page Submit"
"sr_time_Click.Count","Timing - Click Count"
"sr_1","How much should society prioritize AI safety research, relative to how much it is currently prioritized?"
"sr_comment","Do you have any comments on your interpretation of this question? (optional)"
"sr_consider","Which considerations were important in your answer to this question? (optional)"
"extinction_time_First.Click","Timing - First Click"
"extinction_time_Last.Click","Timing - Last Click"
"extinction_time_Page.Submit","Timing - Page Submit"
"extinction_time_Click.Count","Timing - Click Count"
"extinction_all_1","What probability do you put on future AI advances causing human extinction or similarly permanent and severe disempowerment of the human species? - ."
"extinction_comment","Do you have any comments on your interpretation of this question? (optional)"
"extinction_consider","Which considerations were important in your answers to this question? (optional)"
"Q380_First.Click","Timing - First Click"
"Q380_Last.Click","Timing - Last Click"
"Q380_Page.Submit","Timing - Page Submit"
"Q380_Click.Count","Timing - Click Count"
"extinction_100_1","What probability do you put on future AI advances causing human extinction or similarly permanent and severe disempowerment of the human species within the next 100 years? - ."
"extinction_control_1","What probability do you put on human inability to control future advanced AI systems causing human extinction or similarly permanent and severe disempowerment of the human species? - ."
"Q384","Do you have any comments on your interpretation of this question? (optional)"
"Q385","Which considerations were important in your answers to this question? (optional)"
"dem_time_First.Click","Timing - First Click"
"dem_time_Last.Click","Timing - Last Click"
"dem_time_Page.Submit","Timing - Page Submit"
"dem_time_Click.Count","Timing - Click Count"
"dem_1","7 of 7 How much thought have you given in the past to when HLMI (or something similar) will be developed?"
"dem_2","How much thought have you given in the past to social impacts of smarter-than-human machines?"
"dem_3","Are you an AI researcher?"
"dem_4","What are your main areas of research?"
"dem_5","Where do you work?"
"undergrad_continent","In which region did you complete your undergraduate study?"
"Q1_First.Click","Timing - First Click"
"Q1_Last.Click","Timing - Last Click"
"Q1_Page.Submit","Timing - Page Submit"
"Q1_Click.Count","Timing - Click Count"
"Q3","Would you like to be recognized in print as an expert participant in this survey?"
"Q4","If you have any questions or comments for us, please feel free to share them below."
"fixedprobabilities","fixedprobabilities"
"block_random","block_random"
"random","random"
"StartDate","Start Date"
"Q421.1_1","Scenarios- final - Q421#1 - AI systems with the wrong goals become very powerful and reduce the role of humans in making decisions"
"Q421.1_2","Scenarios- final - Q421#1 - Near-full automation of labor leaves most people economically powerless"
"Q421.1_15","Scenarios- final - Q421#1 - People interact with other humans less because they are spending more time interacting with AI systems"
"Q421.1_16","Scenarios- final - Q421#1 - AI systems worsen economic inequality by disproportionately benefiting certain individuals."
"Q421.1_17","Scenarios- final - Q421#1 - Near-full automation of labor makes people struggle to find meaning in their lives."
"Q421.1_3","Scenarios- final - Q421#1 - Bias in AI systems makes unjust situations worse, e.g. AI systems learn to discriminate by gender or race in hiring processes"
"Q421.1_4","Scenarios- final - Q421#1 - A powerful AI system has its goals not set right, causing a catastrophe (e.g. it develops and uses powerful weapons)"
"Q421.1_5","Scenarios- final - Q421#1 - AI lets dangerous groups make powerful tools (e.g. engineered viruses)"
"Q421.1_7","Scenarios- final - Q421#1 - Authoritarian rulers use AI to control their population"
"Q421.1_8","Scenarios- final - Q421#1 - AI makes it easy to spread false information, e.g. deepfakes"
"Q421.1_12","Scenarios- final - Q421#1 - AI systems manipulate large-scale public opinion trends"
"Q421.1_13","Scenarios- final - Q421#1 - Other"
"Q421.1_13_TEXT","Scenarios- final - Q421#1 - Other - Text"
"Q421.2_1","Scenarios- final - Q421#2 - AI systems with the wrong goals become very powerful and reduce the role of humans in making decisions"
"Q421.2_2","Scenarios- final - Q421#2 - Near-full automation of labor leaves most people economically powerless"
"Q421.2_15","Scenarios- final - Q421#2 - People interact with other humans less because they are spending more time interacting with AI systems"
"Q421.2_16","Scenarios- final - Q421#2 - AI systems worsen economic inequality by disproportionately benefiting certain individuals."
"Q421.2_17","Scenarios- final - Q421#2 - Near-full automation of labor makes people struggle to find meaning in their lives."
"Q421.2_3","Scenarios- final - Q421#2 - Bias in AI systems makes unjust situations worse, e.g. AI systems learn to discriminate by gender or race in hiring processes"
"Q421.2_4","Scenarios- final - Q421#2 - A powerful AI system has its goals not set right, causing a catastrophe (e.g. it develops and uses powerful weapons)"
"Q421.2_5","Scenarios- final - Q421#2 - AI lets dangerous groups make powerful tools (e.g. engineered viruses)"
"Q421.2_7","Scenarios- final - Q421#2 - Authoritarian rulers use AI to control their population"
"Q421.2_8","Scenarios- final - Q421#2 - AI makes it easy to spread false information, e.g. deepfakes"
"Q421.2_12","Scenarios- final - Q421#2 - AI systems manipulate large-scale public opinion trends"
"Q421.2_13","Scenarios- final - Q421#2 - Other"
"Q421.2_13_TEXT","Scenarios- final - Q421#2 - Other - Text"
"hb_a_1",""
"hb_a_2",""
"hb_a_3",""
"ta_33_1",""
"ta_33_2",""
"ta_33_3",""
"tb_33_1",""
"tb_33_2",""
"tb_33_3",""
"tb_34_1",""
"tb_34_2",""
"tb_34_3",""
"tb_35_1",""
"tb_35_2",""
"tb_35_3",""
"tb_36_1",""
"tb_36_2",""
"tb_36_3",""
"tb_37_1",""
"tb_37_2",""
"tb_37_3",""
"tb_38_1",""
"tb_38_2",""
"tb_38_3",""
"tb_39_1",""
"tb_39_2",""
"tb_39_3",""
"wave",""
"PreviousConf",""
"NewConf",""
"AAAI",""
"ICLR",""
"ICML",""
"IJCAI",""
"JMLR",""
"NeurIPS",""
"treat_assign",""
